Obs;Brand;Price;Life;Hazard
bundle1;Machismo ;$74.99 ;50000km;No 
bundle2;Goodstone;$69.99 ;50000km;No 
bundle3;Pirogi ;$74.99 ;70000km;No 
bundle4;Goodstone;$79.99 ;70000km;Yes
bundle5;Pirogi ;$74.99 ;70000km;No 
bundle6;Machismo ;$69.99 ;70000km;Yes
bundle7;Pirogi ;$79.99 ;50000km;Yes
bundle8;Machismo ;$74.99 ;50000km;Yes
bundle9;Pirogi ;$69.99 ;60000km;No 
bundle10;Pirogi ;$79.99 ;50000km;Yes
bundle11;Goodstone;$79.99 ;70000km;No 
bundle12;Goodstone;$69.99 ;50000km;No 
bundle13;Goodstone;$74.99 ;60000km;Yes
bundle14;Pirogi ;$69.99 ;60000km;Yes
bundle15;Goodstone;$74.99 ;60000km;Yes
bundle16;Machismo ;$79.99 ;60000km;No 
bundle17;Machismo ;$79.99 ;60000km;No 
bundle18;Machismo ;$69.99 ;70000km;Yes
